Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
CHELSEA - Building 01,425 WEST 25TH STREET,"NEW YORK, NY 10001",Hot Water,Planned,04/22/25,09:00 AM,04/22/25 10:23 PM,1,202,404
CLAREMONT REHAB (GROUP 2) - Building 06,1278 CLAY AVENUE,"BRONX, NY 10456",Hot Water,Unplanned,10/17/24,03:30 PM,10/17/24 09:39 PM,1,9,23
CLAREMONT REHAB (GROUP 2) - Building 04,1236 CLAY AVENUE,"BRONX, NY 10456",Hot Water,Unplanned,05/10/25,11:00 AM,05/10/25 03:34 PM,1,13,28
CLAREMONT REHAB (GROUP 2) - Building 01,1115 CLAY AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/02/25,11:00 PM,01/03/25 11:34 AM,1,39,86
CLAREMONT REHAB (GROUP 3) - Entire Development,1052 TELLER AVENUE,"BRONX, NY 10456",Heat,Unplanned,02/04/25,09:06 PM,02/05/25 02:48 AM,5,115,220
CLAREMONT REHAB (GROUP 4) - Building 05,1128 FINDLAY AVENUE,"BRONX, NY 10456",Heat,Unplanned,03/12/25,09:00 AM,03/12/25 09:50 PM,1,44,88
CLAREMONT REHAB (GROUP 4) - Building 05,1128 FINDLAY AVENUE,"BRONX, NY 10456",Hot Water,Unplanned,03/09/25,09:11 AM,03/10/25 06:05 AM,1,44,88
CLAREMONT REHAB (GROUP 4) - Building 05,1128 FINDLAY AVENUE,"BRONX, NY 10456",Heat,Unplanned,03/09/25,09:11 AM,03/10/25 05:59 AM,1,44,88
CLAREMONT REHAB (GROUP 5) - Building 01,1150 COLLEGE AVENUE,"BRONX, NY 10456",Hot Water,Unplanned,05/11/25,08:59 AM,05/11/25 03:29 PM,1,63,115
CLAREMONT REHAB (GROUP 5) - Building 01,1150 COLLEGE AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/23/25,08:00 PM,01/24/25 03:38 PM,1,63,115
CLASON POINT,Sectional,,Hot Water,Planned,03/18/25,09:00 AM,03/18/25 05:06 PM,,,
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,12/11/24,10:00 AM,12/11/24 08:38 PM,1,139,283
CLINTON - Entire Development,1505 PARK AVENUE,"NEW YORK, NY 10029",Heat,Planned,12/10/24,09:00 AM,12/10/24 09:13 PM,8,749,"1,533"
CLINTON - Entire Development,1505 PARK AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,12/10/24,09:00 AM,12/10/24 09:10 PM,8,749,"1,533"
CLINTON,Sectional,,Heat,Unplanned,12/08/24,12:27 PM,12/08/24 08:55 PM,,,
CLINTON,Sectional,,Hot Water,Unplanned,12/08/24,12:24 PM,12/08/24 08:55 PM,,,
CLINTON - Building 04,1485 PARK AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,11/07/24,09:30 AM,11/07/24 07:22 PM,1,139,278
CLINTON,Sectional,,Hot Water,Unplanned,10/13/24,08:00 AM,10/13/24 04:50 PM,,,
CLINTON,Sectional,,Hot Water,Unplanned,05/31/25,09:29 AM,05/31/25 03:16 PM,,,
CLINTON,Sectional,,Hot Water,Unplanned,05/16/25,08:00 AM,05/16/25 02:29 PM,,,
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,05/15/25,09:00 AM,05/15/25 07:51 PM,1,139,283
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,03/30/25,11:02 AM,03/30/25 07:03 PM,1,139,283
CLINTON,Sectional,,Heat,Unplanned,03/23/25,01:52 PM,03/23/25 11:22 PM,,,
CLINTON,Sectional,,Hot Water,Unplanned,03/23/25,01:52 PM,03/23/25 10:16 PM,,,
CLINTON - Building 05,1405 PARK AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,03/20/25,09:00 AM,03/20/25 07:53 PM,1,139,300
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,03/19/25,09:00 AM,03/20/25 05:57 AM,1,139,283
CLINTON - Building 06,107 EAST 105TH STREET,"NEW YORK, NY 10029",Hot Water,Planned,03/20/25,09:00 AM,03/20/25 04:42 PM,1,52,82
CLINTON - Building 04,1485 PARK AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,03/19/25,09:00 AM,03/19/25 09:02 PM,1,139,278
CLINTON - Building 02,1760 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,03/19/25,09:00 AM,03/19/25 07:51 PM,1,140,304
CLINTON - Building 01,1505 PARK AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,03/19/25,09:00 AM,03/19/25 06:06 PM,1,140,286
CLINTON,Sectional,,Hot Water,Unplanned,03/12/25,09:00 PM,03/13/25 05:44 AM,,,
CLINTON,Sectional,,Heat,Unplanned,03/12/25,09:00 PM,03/13/25 05:26 AM,,,
CLINTON,Sectional,,Heat,Unplanned,03/04/25,10:00 AM,03/05/25 12:06 AM,,,
CLINTON,Sectional,,Hot Water,Unplanned,03/04/25,10:00 AM,03/05/25 12:02 AM,,,
CLINTON,Sectional,,Hot Water,Unplanned,02/13/25,04:00 PM,02/14/25 01:18 AM,,,
CLINTON,Sectional,,Heat,Unplanned,02/13/25,04:00 PM,02/14/25 01:14 AM,,,
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Heat,Planned,02/03/25,09:00 AM,02/04/25 12:22 AM,1,139,283
CLINTON - Building 03,1738 LEXINGTON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,02/03/25,09:00 AM,02/04/25 03:52 AM,1,139,283
CONEY ISLAND - Entire Development,3025 WEST 32ND STREET,"BROOKLYN, NY 11224",Heat,Unplanned,02/21/25,05:58 AM,02/21/25 12:18 PM,5,534,931
CONEY ISLAND - Entire Development,3025 WEST 32ND STREET,"BROOKLYN, NY 11224",Hot Water,Unplanned,02/21/25,05:58 AM,02/21/25 12:15 PM,5,534,931
CONEY ISLAND I (SITE 1B) - Entire Development,2007 SURF AVENUE,"BROOKLYN, NY 11224",Hot Water,Unplanned,01/31/25,01:23 PM,01/31/25 10:47 PM,1,193,392
CONEY ISLAND I (SITE 1B) - Entire Development,2007 SURF AVENUE,"BROOKLYN, NY 11224",Heat,Unplanned,01/31/25,01:23 PM,01/31/25 10:44 PM,1,193,392
CONEY ISLAND I (SITES 4 & 5) - Entire Development,2925 WEST 27TH STREET,"BROOKLYN, NY 11224",Hot Water,Unplanned,05/25/25,09:17 AM,05/25/25 04:40 PM,2,376,842
CONLON LIHFE TOWERS - Entire Development,92-33 170TH STREET,"JAMAICA, NY 11433",Hot Water,Unplanned,05/24/25,10:28 AM,05/24/25 08:27 PM,1,216,246
CONLON LIHFE TOWERS - Building 01,92-33 170TH STREET,"JAMAICA, NY 11433",Heat,Planned,04/16/25,09:00 AM,04/16/25 01:21 PM,1,216,246
CONLON LIHFE TOWERS - Building 01,92-33 170TH STREET,"JAMAICA, NY 11433",Hot Water,Planned,04/16/25,09:00 AM,04/16/25 01:20 PM,1,216,246
COOPER PARK - Building 11,295 JACKSON STREET,"BROOKLYN, NY 11211",Hot Water,Unplanned,05/25/25,07:20 AM,05/25/25 04:33 PM,1,49,152
COOPER PARK - Entire Development,275 JACKSON STREET,"BROOKLYN, NY 11211",Hot Water,Planned,05/14/25,09:08 AM,05/14/25 05:18 PM,11,700,"1,406"
COOPER PARK - Entire Development,275 JACKSON STREET,"BROOKLYN, NY 11211",Hot Water,Planned,04/04/25,01:28 PM,04/04/25 04:31 PM,11,700,"1,406"
COOPER PARK,Sectional,,Hot Water,Unplanned,03/21/25,09:00 AM,03/21/25 05:25 PM,,,
COOPER PARK,Sectional,,Heat,Unplanned,03/21/25,09:00 AM,03/21/25 04:57 PM,,,
COOPER PARK - Building 07,417 MORGAN AVENUE,"BROOKLYN, NY 11211",Hot Water,Unplanned,03/11/25,07:09 PM,03/11/25 10:32 PM,1,49,112
COOPER PARK - Building 01,275 JACKSON STREET,"BROOKLYN, NY 11211",Hot Water,Unplanned,02/11/25,09:00 AM,02/11/25 03:49 PM,1,56,112
CYPRESS HILLS - Building 07,375 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Unplanned,11/17/24,03:00 PM,11/17/24 08:04 PM,1,95,197
CYPRESS HILLS - Building 01,1260 SUTTER AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,05/08/25,09:55 AM,05/08/25 12:39 PM,1,95,184
CYPRESS HILLS - Building 14,2525 LINDEN BOULEVARD,"BROOKLYN, NY 11208",Hot Water,Planned,05/06/25,09:20 AM,05/06/25 03:31 PM,1,98,179
CYPRESS HILLS - Building 15,515 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,05/06/25,09:00 AM,05/06/25 03:30 PM,1,98,177
CYPRESS HILLS - Building 13,2545 LINDEN BOULEVARD,"BROOKLYN, NY 11208",Hot Water,Planned,05/01/25,08:10 AM,05/01/25 04:09 PM,1,98,198
CYPRESS HILLS - Building 12,730 EUCLID AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,05/01/25,08:10 AM,05/01/25 04:09 PM,1,98,191
CYPRESS HILLS - Building 10,495 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/29/25,09:00 AM,04/29/25 02:48 PM,1,94,188
CYPRESS HILLS - Building 09,455 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/29/25,09:00 AM,04/29/25 02:48 PM,1,90,201
CYPRESS HILLS - Building 11,700 EUCLID AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/24/25,08:30 AM,04/24/25 04:18 PM,1,94,169
CYPRESS HILLS - Building 08,395 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/24/25,08:30 AM,04/24/25 02:32 PM,1,98,199
CYPRESS HILLS - Building 07,375 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/22/25,08:20 AM,04/22/25 04:40 PM,1,95,197
CYPRESS HILLS - Building 05,1200 SUTTER AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/22/25,08:20 AM,04/22/25 03:17 PM,1,98,182
CYPRESS HILLS - Building 03,315 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/17/25,08:30 AM,04/17/25 03:45 PM,1,98,189
CYPRESS HILLS - Building 06,345 FOUNTAIN AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/17/25,08:30 AM,04/17/25 03:45 PM,1,94,177
CYPRESS HILLS - Building 01,1260 SUTTER AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/15/25,08:10 AM,04/15/25 03:52 PM,1,95,184
CYPRESS HILLS - Building 02,1230 SUTTER AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/15/25,08:18 AM,04/15/25 03:52 PM,1,98,199
CYPRESS HILLS - Building 04,1250 SUTTER AVENUE,"BROOKLYN, NY 11208",Hot Water,Planned,04/08/25,09:00 AM,04/08/25 03:41 PM,1,98,188
CYPRESS HILLS,Sectional,,Heat,Planned,03/12/25,08:00 AM,03/12/25 06:01 PM,,,
CYPRESS HILLS,Sectional,,Heat,Planned,01/17/25,08:30 AM,01/17/25 04:09 PM,,,
DE HOSTOS APARTMENTS - Building 01,201 WEST 93RD STREET,"NEW YORK, NY 10025",Heat,Unplanned,11/15/24,08:00 PM,11/16/24 04:01 PM,1,223,430
DE HOSTOS APARTMENTS - Entire Development,201 WEST 93RD STREET,"NEW YORK, NY 10025",Hot Water,Unplanned,11/16/24,12:00 AM,11/16/24 03:45 PM,1,223,430
DE HOSTOS APARTMENTS - Entire Development,201 WEST 93RD STREET,"NEW YORK, NY 10025",Heat,Unplanned,11/16/24,12:00 AM,11/16/24 03:12 PM,1,223,430
DE HOSTOS APARTMENTS - Entire Development,201 WEST 93RD STREET,"NEW YORK, NY 10025",Hot Water,Unplanned,05/24/25,10:00 PM,05/25/25 03:24 PM,1,223,430
DOUGLASS ADDITION,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/28/24,01:30 PM,12/28/24 10:33 PM,1,15,41
DOUGLASS ADDITION,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/28/24,01:30 PM,12/28/24 10:13 PM,1,15,17
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/22/24,02:30 PM,12/22/24 08:23 PM,1,135,284
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Unplanned,12/22/24,02:00 PM,12/22/24 08:21 PM,1,135,284
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Unplanned,12/19/24,03:00 PM,12/19/24 06:50 PM,1,135,284
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/19/24,03:00 PM,12/19/24 06:47 PM,1,135,284
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Heat,Planned,03/20/25,09:00 AM,03/20/25 05:44 PM,1,135,284
DOUGLASS ADDITION - Entire Development,868 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/20/25,09:00 AM,03/20/25 05:44 PM,1,135,284
DOUGLASS I - Building 10,850 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,12/30/24,09:00 AM,12/30/24 07:19 PM,1,72,121
DOUGLASS I - Building 10,850 COLUMBUS AVENUE,"NEW YORK, NY 10025",Heat,Unplanned,12/19/24,09:00 AM,12/19/24 03:34 PM,1,72,121
DOUGLASS I - Building 10,850 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Unplanned,12/19/24,09:00 AM,12/19/24 03:33 PM,1,72,121
DOUGLASS I - Entire Development,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Heat,Planned,12/05/24,09:05 AM,12/05/24 11:19 PM,11,"1,305","2,331"
DOUGLASS I - Entire Development,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,12/05/24,09:05 AM,12/05/24 11:10 PM,11,"1,305","2,331"
DOUGLASS I - Entire Development,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Heat,Planned,11/25/24,09:00 AM,11/25/24 05:19 PM,11,"1,305","2,331"
DOUGLASS I - Entire Development,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,11/25/24,09:00 AM,11/25/24 03:48 PM,11,"1,305","2,331"
DOUGLASS I - Building 10,850 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,11/07/24,09:00 AM,11/07/24 07:51 PM,1,72,121
DOUGLASS I - Building 08,60 WEST 104TH STREET,"NEW YORK, NY 10025",Hot Water,Unplanned,11/04/24,03:30 PM,11/04/24 08:31 PM,1,96,193
DOUGLASS I - Building 08,60 WEST 104TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,05/27/25,09:00 AM,05/27/25 07:12 PM,1,96,193
DOUGLASS I - Entire Development,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,05/06/25,05:20 PM,05/06/25 06:26 PM,11,"1,305","2,331"
DOUGLASS I - Building 05,55 WEST 100TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,04/23/25,09:00 AM,04/23/25 07:54 PM,1,96,168
DOUGLASS I - Building 16,51 MANHATTAN AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,04/02/25,09:00 AM,04/02/25 03:48 PM,1,30,33
DOUGLASS I - Building 17,74 WEST 103RD STREET,"NEW YORK, NY 10025",Hot Water,Planned,04/02/25,09:00 AM,04/02/25 03:47 PM,1,29,37
DOUGLASS I - Building 12,860 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/11/25,09:00 AM,03/11/25 05:32 PM,1,160,303
DOUGLASS I - Building 11,870 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/11/25,09:00 AM,03/11/25 05:30 PM,1,177,303
DOUGLASS I - Building 10,850 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/07/25,09:20 AM,03/07/25 05:51 PM,1,72,121
DOUGLASS I - Building 09,875 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/05/25,09:00 AM,03/05/25 07:11 PM,1,173,312
DOUGLASS I - Building 08,60 WEST 104TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,03/05/25,09:00 AM,03/05/25 07:08 PM,1,96,193
DOUGLASS I - Building 07,865 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/04/25,08:00 AM,03/04/25 05:24 PM,1,160,285
DOUGLASS I - Building 06,845 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/04/25,08:00 AM,03/04/25 05:23 PM,1,160,308
DOUGLASS I - Building 05,55 WEST 100TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,03/03/25,09:00 AM,03/03/25 07:37 PM,1,96,168
DOUGLASS I - Building 04,825 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/03/25,09:00 AM,03/03/25 07:36 PM,1,152,268
DOUGLASS II,Sectional,,Hot Water,Planned,12/30/24,09:00 AM,12/30/24 07:15 PM,,,
DOUGLASS II,Sectional,,Heat,Unplanned,12/19/24,09:00 AM,12/19/24 03:34 PM,,,
DOUGLASS II,Sectional,,Hot Water,Unplanned,12/19/24,09:00 AM,12/19/24 03:33 PM,,,
DOUGLASS II - Entire Development,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Heat,Planned,12/05/24,09:05 AM,12/05/24 10:59 PM,6,753,"1,454"
DOUGLASS II - Entire Development,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,12/05/24,09:05 AM,12/05/24 10:53 PM,6,753,"1,454"
DOUGLASS II - Entire Development,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,11/25/24,09:00 AM,11/25/24 05:21 PM,6,753,"1,454"
DOUGLASS II - Entire Development,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Heat,Planned,11/25/24,09:00 AM,11/25/24 05:20 PM,6,753,"1,454"
DOUGLASS II - Building 13,140 WEST 104TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,11/08/24,09:00 AM,11/08/24 04:35 PM,1,136,266
DOUGLASS II - Building 14,865 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,10/11/24,09:00 AM,10/11/24 07:24 PM,1,136,279
DOUGLASS II - Building 01,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,05/23/25,09:00 AM,05/23/25 08:34 PM,1,160,306
DOUGLASS II - Entire Development,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,05/06/25,09:00 AM,05/06/25 06:25 PM,6,753,"1,454"
DOUGLASS II - Building 13,140 WEST 104TH STREET,"NEW YORK, NY 10025",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 05:40 PM,1,136,266
DOUGLASS II - Building 15,875 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 05:36 PM,1,96,179
DOUGLASS II - Building 14,865 AMSTERDAM AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/12/25,09:00 AM,03/12/25 05:36 PM,1,136,279
DOUGLASS II - Building 03,830 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/07/25,09:00 AM,03/07/25 05:52 PM,1,72,138
DOUGLASS II - Building 02,826 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 06:53 PM,1,153,286
DOUGLASS II - Building 01,840 COLUMBUS AVENUE,"NEW YORK, NY 10025",Hot Water,Planned,03/06/25,09:00 AM,03/06/25 06:52 PM,1,160,306
DREW-HAMILTON - Entire Development,210 WEST 142ND STREET,"NEW YORK, NY 10030",Heat,Unplanned,12/27/24,08:18 PM,12/28/24 05:43 AM,5,"1,217","2,184"
DREW-HAMILTON - Entire Development,210 WEST 142ND STREET,"NEW YORK, NY 10030",Hot Water,Unplanned,12/27/24,08:18 PM,12/28/24 05:36 AM,5,"1,217","2,184"
DREW-HAMILTON - Building 03,2698 F DOUGLASS BOULEVARD,"NEW YORK, NY 10030",Hot Water,Unplanned,11/12/24,12:39 PM,11/12/24 05:58 PM,1,246,457
DREW-HAMILTON - Building 02,2680 F DOUGLASS BOULEVARD,"NEW YORK, NY 10030",Hot Water,Planned,10/24/24,08:45 AM,10/24/24 02:37 PM,1,244,405
DREW-HAMILTON - Building 02,2680 F DOUGLASS BOULEVARD,"NEW YORK, NY 10030",Hot Water,Unplanned,10/10/24,07:30 AM,10/10/24 06:52 PM,1,244,405
DREW-HAMILTON - Entire Development,210 WEST 142ND STREET,"NEW YORK, NY 10030",Hot Water,Planned,05/20/25,09:00 AM,05/20/25 09:00 PM,5,"1,217","2,184"
DREW-HAMILTON - Building 03,2698 F DOUGLASS BOULEVARD,"NEW YORK, NY 10030",Hot Water,Unplanned,04/06/25,10:21 AM,04/07/25 02:00 AM,1,246,457
DREW-HAMILTON - Building 05,200 WEST 143RD STREET,"NEW YORK, NY 10030",Hot Water,Unplanned,02/11/25,11:06 PM,02/12/25 02:00 PM,1,240,438
DYCKMAN - Building 07,3784 10TH AVENUE,"NEW YORK, NY 10034",Hot Water,Unplanned,12/05/24,12:00 AM,12/05/24 08:30 PM,1,168,303
DYCKMAN - Building 05,213 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,11/26/24,01:48 PM,11/26/24 03:57 PM,1,168,286
DYCKMAN - Building 05,213 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Unplanned,11/14/24,04:00 PM,11/14/24 10:56 PM,1,168,286
DYCKMAN - Building 03,195 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,10/25/24,09:00 AM,10/25/24 08:27 PM,1,168,293
DYCKMAN - Building 03,195 NAGLE AVENUE,"NEW YORK, NY 10034",Heat,Planned,10/25/24,09:00 AM,10/25/24 01:59 PM,1,168,293
DYCKMAN - Building 02,3716 10TH AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,10/24/24,09:00 AM,10/24/24 03:15 PM,1,168,275
DYCKMAN - Entire Development,177 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,05/15/25,09:19 AM,05/15/25 06:27 PM,8,"1,167","1,977"
DYCKMAN - Building 06,3758 10TH AVENUE,"NEW YORK, NY 10034",Hot Water,Unplanned,03/15/25,11:11 AM,03/15/25 06:21 PM,1,168,279
DYCKMAN - Building 02,3716 10TH AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,03/10/25,08:30 AM,03/10/25 07:15 PM,1,168,275
DYCKMAN - Building 03,195 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,03/10/25,08:30 AM,03/10/25 06:11 PM,1,168,293
DYCKMAN - Building 04,3736 10TH AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,03/10/25,08:30 AM,03/10/25 05:22 PM,1,162,287
DYCKMAN - Building 01,177 NAGLE AVENUE,"NEW YORK, NY 10034",Hot Water,Planned,03/10/25,08:45 AM,03/10/25 05:16 PM,1,165,254
DYCKMAN - Entire Development,177 NAGLE AVENUE,"NEW YORK, NY 10034",Heat,Unplanned,02/13/25,02:17 PM,02/13/25 09:32 PM,8,"1,167","1,977"
EAST 152ND STREET-COURTLANDT AVENUE - Entire Development,372 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Planned,05/28/25,11:45 AM,05/28/25 06:50 PM,2,221,325
EAST 152ND STREET-COURTLANDT AVENUE - Entire Development,372 EAST 152ND STREET,"BRONX, NY 10455",Hot Water,Unplanned,05/08/25,07:21 PM,05/08/25 09:58 PM,2,221,325
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Heat,Unplanned,03/09/25,05:07 AM,03/09/25 12:54 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Planned,03/07/25,09:10 AM,03/07/25 06:31 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Planned,03/06/25,10:30 AM,03/06/25 06:54 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Heat,Unplanned,03/02/25,02:30 PM,03/02/25 11:25 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Unplanned,02/22/25,12:15 PM,02/22/25 07:38 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Unplanned,02/12/25,09:15 PM,02/13/25 02:01 AM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Unplanned,02/11/25,03:10 PM,02/11/25 11:29 PM,2,239,0
EAST 180TH STREET-MONTEREY AVENUE - Building 01,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Unplanned,02/10/25,06:25 PM,02/11/25 03:01 AM,1,239,0
EAST 180TH STREET-MONTEREY AVENUE - Building 01,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Hot Water,Unplanned,02/09/25,03:02 PM,02/10/25 04:14 AM,1,239,0
EAST 180TH STREET-MONTEREY AVENUE - Entire Development,2111 LAFONTAINE AVENUE,"BRONX, NY 10457",Heat,Unplanned,01/21/25,08:13 AM,01/21/25 05:45 PM,2,239,0
EAST NEW YORK CITY LINE,Sectional,,Hot Water,Unplanned,12/23/24,02:00 PM,12/23/24 08:28 PM,,,
EAST NEW YORK CITY LINE,Sectional,,Heat,Unplanned,12/23/24,02:00 PM,12/23/24 07:54 PM,,,
EAST NEW YORK CITY LINE,Sectional,,Heat,Unplanned,12/19/24,02:00 PM,12/19/24 10:03 PM,,,
EAST NEW YORK CITY LINE,Sectional,,Hot Water,Planned,12/11/24,09:00 AM,12/11/24 06:40 PM,,,
EAST NEW YORK CITY LINE,Sectional,,Hot Water,Unplanned,05/04/25,01:42 AM,05/04/25 01:12 PM,,,
EAST RIVER - Building 07,433 EAST 102ND STREET,"NEW YORK, NY 10029",Heat,Unplanned,12/03/24,10:00 AM,12/03/24 08:05 PM,1,120,205
EAST RIVER - Building 01,410 EAST 105TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,11/28/24,11:00 PM,11/29/24 01:46 PM,1,160,272
EAST RIVER - Building 10,435 EAST 102ND STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,10/16/24,03:00 PM,10/16/24 07:18 PM,1,120,216
EAST RIVER - Entire Development,410 EAST 105TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,04/30/25,10:35 AM,04/30/25 04:04 PM,11,"1,170","1,927"
EAST RIVER - Building 03,400 EAST 105TH STREET,"NEW YORK, NY 10029",Hot Water,Planned,04/15/25,09:00 AM,04/15/25 02:36 PM,1,140,193
EAST RIVER - Building 05,440 EAST 105TH STREET,"NEW YORK, NY 10029",Hot Water,Planned,04/15/25,09:00 AM,04/15/25 02:35 PM,1,80,125
