Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
SUMNER,Sectional,,Hot Water,Planned,02/25/25,08:30 AM,02/25/25 03:06 PM,,,
SUMNER,Sectional,,Heat,Unplanned,02/15/25,01:21 PM,02/16/25 12:59 AM,,,
SUMNER,Sectional,,Hot Water,Unplanned,02/15/25,01:21 PM,02/16/25 12:55 AM,,,
SUMNER - Entire Development,868 PARK AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,02/16/25,06:00 AM,02/16/25 12:41 PM,13,"1,099","1,969"
SUMNER - Entire Development,868 PARK AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,02/16/25,06:00 AM,02/16/25 12:40 PM,13,"1,099","1,969"
SUMNER,Sectional,,Hot Water,Unplanned,01/23/25,07:00 AM,01/23/25 12:43 PM,,,
SUMNER,Sectional,,Heat,Unplanned,01/23/25,07:00 AM,01/23/25 12:41 PM,,,
SUMNER,Sectional,,Hot Water,Unplanned,01/15/25,10:00 AM,01/15/25 02:38 PM,,,
SUMNER,Sectional,,Heat,Unplanned,01/15/25,10:00 AM,01/15/25 02:32 PM,,,
SURFSIDE GARDENS - Building 01,2960 WEST 31ST STREET,"BROOKLYN, NY 11224",Hot Water,Unplanned,11/19/24,06:00 PM,11/20/24 07:17 PM,1,134,155
SURFSIDE GARDENS - Building 01,2960 WEST 31ST STREET,"BROOKLYN, NY 11224",Hot Water,Planned,11/13/24,10:01 AM,11/13/24 08:59 PM,1,134,155
SURFSIDE GARDENS - Building 01,2960 WEST 31ST STREET,"BROOKLYN, NY 11224",Heat,Planned,03/24/25,10:00 AM,03/24/25 03:49 PM,1,134,155
SURFSIDE GARDENS - Building 01,2960 WEST 31ST STREET,"BROOKLYN, NY 11224",Hot Water,Planned,03/24/25,10:00 AM,03/24/25 03:48 PM,1,134,155
SURFSIDE GARDENS - Building 05,2820 WEST 32ND STREET,"BROOKLYN, NY 11224",Heat,Unplanned,01/24/25,09:15 AM,01/24/25 04:06 PM,1,108,189
SURFSIDE GARDENS - Building 03,2940 WEST 31ST STREET,"BROOKLYN, NY 11224",Hot Water,Unplanned,01/12/25,09:42 AM,01/12/25 09:58 PM,1,115,326
SURFSIDE GARDENS,Sectional,,Hot Water,Unplanned,01/07/25,02:00 PM,01/07/25 09:47 PM,,,
SURFSIDE GARDENS,Sectional,,Heat,Unplanned,01/07/25,02:00 PM,01/07/25 09:35 PM,,,
TAFT - Building 02,1345 5TH AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,12/18/24,04:15 PM,12/18/24 11:38 PM,1,150,315
TAFT - Building 09,1695 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,05/18/25,08:20 AM,05/18/25 07:11 PM,1,150,310
TAFT - Building 07,70 EAST 115TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,05/06/25,08:07 PM,05/07/25 12:04 AM,1,186,300
TAFT - Building 08,65 EAST 112TH STREET,"NEW YORK, NY 10029",Hot Water,Planned,04/25/25,08:00 AM,04/25/25 11:44 AM,1,186,299
TAFT - Building 09,1695 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/25/25,12:10 PM,04/25/25 03:59 PM,1,150,310
TAFT - Building 07,70 EAST 115TH STREET,"NEW YORK, NY 10029",Hot Water,Planned,04/24/25,12:00 PM,04/24/25 05:53 PM,1,186,300
TAFT - Building 06,1735 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/24/25,08:04 AM,04/24/25 02:01 PM,1,150,300
TAFT - Building 05,1734 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/23/25,12:00 PM,04/23/25 04:02 PM,1,147,309
TAFT - Building 04,1385 5TH AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/23/25,08:00 AM,04/23/25 02:13 PM,1,150,241
TAFT - Building 02,1345 5TH AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/22/25,12:15 PM,04/22/25 04:17 PM,1,150,315
TAFT - Building 01,1694 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Planned,04/22/25,08:15 AM,04/22/25 04:15 PM,1,150,233
TAFT - Building 02,1345 5TH AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,04/15/25,06:11 PM,04/16/25 03:56 AM,1,150,315
TAFT - Building 07,70 EAST 115TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,04/12/25,07:05 PM,04/12/25 11:27 PM,1,186,300
TAFT - Building 07,70 EAST 115TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,04/12/25,08:25 AM,04/12/25 03:17 PM,1,186,300
TAFT - Building 09,1695 MADISON AVENUE,"NEW YORK, NY 10029",Hot Water,Unplanned,03/23/25,10:36 AM,03/23/25 11:49 PM,1,150,310
TAFT - Building 07,70 EAST 115TH STREET,"NEW YORK, NY 10029",Hot Water,Unplanned,03/08/25,09:30 AM,03/09/25 03:04 AM,1,186,300
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Hot Water,Unplanned,05/12/25,08:00 AM,05/12/25 04:43 PM,6,525,"1,193"
TAYLOR STREET-WYTHE AVENUE - Entire Development,626 WYTHE PLACE,"BROOKLYN, NY 11249",Hot Water,Unplanned,05/11/25,01:32 AM,05/11/25 07:39 AM,6,525,"1,193"
